Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Seit Montag dieser Sitzungswoche geistert ein Antrag auf Durchführung einer Aktuellen Stunde durch das Parlament. Erst lautete das Thema schwammig „Linksextreme Gewalt“, dann kurzzeitig „Gewalt gegen Abgeordnete“; darunter kann man sich als Rednerin zu diesem Antrag auch nichts vorstellen. In der aktuellen Fassung lautet das Thema nun: „Linksextreme Gewalttaten gegen die politische Betätigung demokratischer Parteien“.
Ich gehe einmal davon aus – das hoffe ich zumindest –, dass die allermeisten Abgeordneten bezüglich dieser Thematik keine eigenen Erfahrungen gemacht haben.
Also reduziert sich Ihr Antrag im Wesentlichen auf Ihre eigene Partei, Kolleginnen und Kollegen von der AfD, womit sich mir die Frage stellt, ob das Thema laut Antrag wortlautmäßig noch stimmen kann; denn dann müssten Sie eine demokratische Partei sein, und das stelle ich infrage.
Ich sage Ihnen auch gerne, warum ich das tue: In dem Moment, in dem Sie sagen, dass Menschen nach Religion und Herkunft sortiert werden müssen, reden wir auch über Menschenwürde, und diese ist unabänderlich verfassungsrechtlich garantiert.
Und wenn, meine Kolleginnen und Kollegen von der AfD, einer Ihrer Kollegen im Sächsischen Landtag eine Anfrage mit dem Wortlaut „,Hilfe bei Sterilisation’ für unbegleitete minderjährige Ausländer“ stellt,
dann reden wir auch über Menschenwürde. Und wenn Amtsträger Ihrer Partei in rechtsextremen Milieus unterwegs sind, dann muss man ganz klar von einer Demokratiegefährdung reden.
Das bringt mich zu der nächsten Frage. Führt nicht gerade Ihre politische Betätigung dazu, dass die Menschen zunehmend rauer mit demokratischen Parteien und mit Politikerinnen und Politikern umgehen?
Nicht erst seit der Messerattacke auf Bürgermeister Andreas Hollstein in Altena muss man sich doch die Frage stellen, die der Kollege Mayer schon gestellt hat: Verroht unsere Gesellschaft?
Wenn der Kollege Brandner – jetzt neu für die AfD im Bundestag – am letzten Wochenende ein Foto von einer Machete
und dazu den Text: „Warten … auf die #Antifa“ auf Twitter postet,
