– also den Terroristen –
gestreut werden. Aung San Suu Kyi sprach in diesem Zusammenhang von Fake News in den westlichen Medien.
Sonst rühmen Sie doch immer Papst Franziskus. Sie überschlagen sich vor Jubel, wenn Sie mal wieder eher linkspopulistische Töne aus dem Vatikan hören. Kollege Brand hat sich in der ersten Lesung auch auf den Papst in Myanmar berufen.
Das Wesentliche hat er aber natürlich verschwiegen: Dieser so angesagte Franziskus vermeidet das R-Wort; der Kampfbegriff „Rohingya“ kommt ihm nicht über die Lippen.
Kann es sein, dass der Vatikan besser informiert ist über die Lage der Volksgruppen und Religionen in Myanmar?
Kann es sein, dass Ihnen mal wieder der links-grüne Mief Ihren Blick auf die Realitäten der Welt vernebelt?
Bei den christlichen Armeniern haben Sie über 100 Jahre gebraucht, um den einzig treffenden Begriff „Völkermord“ auch nur einmal in den Mund zu nehmen,
und die Bundesregierung unter der rot-grünen Kanzlerin eiert weiter herum – wir kennen das seit über zwölf Jahren.
Bei einer angeblichen Volksgruppe ganz weit weg geht es ganz schnell, da gibt es Forderungen an das arme Myanmar; es geht ja um die Ausbreitung des Islam.
Wir halten aber fest: Auch die Birmanen haben das Recht auf Selbstverteidigung gegen terroristische Überfälle.
Das Schicksal der Buddhisten, der Hindus oder Christen in Birma spielt bei Ihnen aber eine nebensächliche Rolle.
In Ihrem Antrag kommt es nicht vor. Nicht jeder Übergriff des Militärs, nicht jedes Verbrechen ist Völkermord. Begreifen Sie das endlich.
Hören Sie endlich auf, ohne klare Fakten und inflationär mit dem Begriff „Völkermord“ um sich zu werfen. Birma ist nicht Armenien.
Sie verharmlosen damit die eindeutigen Massenmorde des 20. Jahrhunderts, auch die Morde durch zwei totalitäre Regime.
Sie verharmlosen also nicht nur den Völkermord an den Armeniern. Sie verharmlosen den Nationalsozialismus und den Kommunismus:
