Inzwischen fürchten 60 Prozent der Deutschen, sich in der Öffentlichkeit nicht mehr zu allen Themen frei äußern zu können.
Ihre Politik, meine Damen und Herren, hat ein Klima der Angst geschaffen.
Und jetzt kommen wir als AfD und halten Ihnen den Spiegel vor.
Was Sie sehen, ist hässlich; das will ich Ihnen gerne glauben.
Aber Sie müssen doch selbst einmal drüber nachdenken, was Ihr Vorgehen mit dem gesellschaftlichen Klima zu tun hat, in dem der Mord an Walter Lübcke und die schrecklichen Anschläge in Hanau und Halle überhaupt möglich wurden.
Wenn in Frankfurt ein Kind vor einen Zug gestoßen wird, dann geht man schnell zum Tagesgeschehen über.
Der Täter sei psychisch krank gewesen, heißt es dann.
Wenn in Hanau ein psychisch Kranker Menschen erschießt, wird daraus rechter Terrorismus.
Rast dann Tage später wieder mal ein Fahrzeug absichtlich in eine Menschenmenge, geht das im Grundrauschen der täglichen Berichterstattung unter.
Man erfährt wenig über die Hintergründe, die Opfer und den Täter.
Jedes dieser Ereignisse hätte nicht geschehen dürfen. Aber die einen zu ignorieren und die anderen politisch zu instrumentalisieren, das treibt die Spaltung unserer Gesellschaft voran.
Meine Damen und Herren, erst vor wenigen Tagen hat unser Parteivorsitzender Tino Chrupalla vor einem weiteren Aufheizen des politischen Klimas gewarnt. Prompt wurden er und seine Familie Opfer eines Brandanschlages. Von den gesundheitlichen Schäden ist er bis heute nicht genesen. Auch diese Tat war das Werk von Extremisten, und sie zeigt uns einmal mehr, dass es nicht damit getan ist, Extremismus allein auf der rechten Seite zu suchen,
sondern dass es nur in einer gemeinsamen Kraftanstrengung aller demokratischen Kräfte gelingen wird, die gesellschaftlichen Rückzugsräume für Extremisten wieder zu schließen: von rechts wie von links.
Ich danke Ihnen.
